ID,BARRIO,DISTRITO,ESTADO,LATITUD,LONGITUD,COD_POSTAL,FECHA_INSTALACION,coordenadasGPS,capacidadMax,cantidadJuegosPorTipo,estadoGlobalArea
17190,CASA DE CAMPO,MONCLOA - ARAVACA,OPERATIVO,40.42786089,-3.72781469,28008,2005-12-29,"[-3.72781469, 40.42786089]",24,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
17194,VALDEZARZA,MONCLOA - ARAVACA,OPERATIVO,40.4611349,-3.71035113,28039,2006-01-16,"[-3.71035113, 40.4611349]",24,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",SUFICIENTE
17198,VALDEZARZA,MONCLOA - ARAVACA,OPERATIVO,40.46425056,-3.71051181,28039,2006-01-16,"[-3.71051181, 40.46425056]",20,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
17200,VALDEZARZA,MONCLOA - ARAVACA,OPERATIVO,40.46544826,-3.71741794,28039,2007-02-02,"[-3.71741794, 40.46544826]",27,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
17202,CIUDAD UNIVERSITARIA,MONCLOA - ARAVACA,OPERATIVO,40.44760623,-3.71679575,28040,2007-02-28,"[-3.71679575, 40.44760623]",19,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17204,VALDEZARZA,MONCLOA - ARAVACA,OPERATIVO,40.46890886,-3.71988192,28035,2019-09-13,"[-3.71988192, 40.46890886]",18,"{'deportivas': 0, 'mayores': 0, 'infantiles': 6}",BUENO
17206,VALDEZARZA,MONCLOA - ARAVACA,OPERATIVO,40.4705089,-3.72128236,28035,2006-02-02,"[-3.72128236, 40.4705089]",14,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
17208,CIUDAD UNIVERSITARIA,MONCLOA - ARAVACA,OPERATIVO,40.44777499,-3.71686571,28040,2006-01-16,"[-3.71686571, 40.44777499]",11,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",BUENO
17210,VALDEZARZA,MONCLOA - ARAVACA,OPERATIVO,40.46372618,-3.71448961,28039,2005-02-08,"[-3.71448961, 40.46372618]",16,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
17213,CIUDAD UNIVERSITARIA,MONCLOA - ARAVACA,OPERATIVO,40.45584983,-3.7134857,28040,2006-01-16,"[-3.7134857, 40.45584983]",13,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17215,CIUDAD UNIVERSITARIA,MONCLOA - ARAVACA,OPERATIVO,40.45311584,-3.71445161,28040,2004-09-13,"[-3.71445161, 40.45311584]",13,"{'deportivas': 0, 'mayores': 0, 'infantiles': 8}",BUENO
17217,CIUDAD UNIVERSITARIA,MONCLOA - ARAVACA,OPERATIVO,40.44896677,-3.71397109,28040,2007-02-15,"[-3.71397109, 40.44896677]",29,"{'deportivas': 0, 'mayores': 0, 'infantiles': 5}",BUENO
17219,CASA DE CAMPO,MONCLOA - ARAVACA,OPERATIVO,40.42819181,-3.73151157,28008,2006-01-11,"[-3.73151157, 40.42819181]",19,"{'deportivas': 0, 'mayores': 0, 'infantiles': 7}",SUFICIENTE
17221,CASA DE CAMPO,MONCLOA - ARAVACA,OPERATIVO,40.42691978,-3.73174688,28008,2020-02-07,"[-3.73174688, 40.42691978]",11,"{'deportivas': 0, 'mayores': 0, 'infantiles': 2}",INSUFICIENTE
17242,EL PLANTIO,MONCLOA - ARAVACA,OPERATIVO,40.47185791,-3.82557176,28023,2005-12-01,"[-3.82557176, 40.47185791]",19,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17248,CIUDAD UNIVERSITARIA,MONCLOA - ARAVACA,OPERATIVO,40.4543769,-3.71562325,28040,2007-03-20,"[-3.71562325, 40.4543769]",19,"{'deportivas': 0, 'mayores': 0, 'infantiles': 4}",SUFICIENTE
17252,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45722886,-3.78170987,28023,2007-05-04,"[-3.78170987, 40.45722886]",12,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",SUFICIENTE
17254,VALDEZARZA,MONCLOA - ARAVACA,OPERATIVO,40.46459634,-3.71201771,28039,2007-09-28,"[-3.71201771, 40.46459634]",11,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17256,ARAVACA,MONCLOA - ARAVACA,OPERATIVO,40.45620335,-3.77947084,28023,2007-04-17,"[-3.77947084, 40.45620335]",18,"{'deportivas': 0, 'mayores': 0, 'infantiles': 3}",BUENO
17258,VALDEZARZA,MONCLOA - ARAVACA,OPERATIVO,40.4675242,-3.720312,28035,2007-03-14,"[-3.720312, 40.4675242]",16,"{'deportivas': 0, 'mayores': 2, 'infantiles': 7}",INSUFICIENTE
17259,CASA DE CAMPO,MONCLOA - ARAVACA,OPERATIVO,40.423132,-3.7268744,28008,2007-04-19,"[-3.7268744, 40.423132]",19,"{'deportivas': 15, 'mayores': 2, 'infantiles': 7}",BUENO
