ID,ESTADO,FECHA_INSTALACION,MODELO,tipo_juego,ACCESIBLE,indicadorExposicion,ultimaFechaMantenimiento,desgasteAcumulado,AreaRecreativaID
21835,OPERATIVO,2009-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,alto,2024-01-14,800,18509
21846,OPERATIVO,2004-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,Desconocido,medio,2024-10-10,2200,18521
21860,OPERATIVO,2002-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,True,alto,Ausente,4500,18540
21886,OPERATIVO,2007-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,alto,2024-03-06,800,18574
21914,OPERATIVO,2006-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,True,medio,Ausente,1800,18607
21933,OPERATIVO,2007-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,True,medio,2023-12-15,100,18632
22039,OPERATIVO,2006-09-19,JMC-04,infantiles,False,medio,2024-05-26,2700,16934
22045,OPERATIVO,2007-04-06,1187 · 138150M,infantiles,True,alto,2024-07-13,1700,16944
22051,OPERATIVO,2004-01-01,JMC-04,infantiles,False,alto,2024-05-06,1100,16959
22057,OPERATIVO,2009-03-10,JMC-490,infantiles,False,alto,2024-01-24,800,16972
22096,OPERATIVO,2007-02-06,Tobogan Autoportante en Area Infantil,infantiles,Desconocido,medio,Ausente,2600,17111
22097,OPERATIVO,2005-07-28,Tobogan Autoportante en Area Infantil,infantiles,False,medio,2024-05-07,1500,17123
22100,OPERATIVO,2007-03-29,Tobogan Autoportante en Area Infantil,infantiles,False,alto,2024-03-09,3800,17136
22103,OPERATIVO,2009-11-12,Tobogan Autoportante en Area Infantil,infantiles,True,alto,Ausente,2100,17144
22108,OPERATIVO,2009-04-22,Tobogan Autoportante en Area Infantil,infantiles,False,bajo,Ausente,1300,17155
22125,OPERATIVO,2006-01-16,1036 · ELEFANTE,infantiles,True,alto,2024-05-16,1100,17198
22074,OPERATIVO,2005-04-11,Tobogan Autoportante en Area Infantil,infantiles,True,bajo,Ausente,900,17022
22082,OPERATIVO,2007-04-11,Tobogan Autoportante en Area Infantil,infantiles,True,medio,2024-06-18,2500,17069
22233,OPERATIVO,2004-01-01,RED,infantiles,Desconocido,alto,2024-04-27,1300,17568
22262,OPERATIVO,2007-04-05,GUSANO,infantiles,True,medio,2024-07-28,0,17680
22292,OPERATIVO,2011-02-06,JMC-490,infantiles,False,medio,2024-06-24,1900,17778
22359,OPERATIVO,2005-01-01,0325 · JMC-04,infantiles,False,medio,2024-06-19,700,17960
22182,OPERATIVO,2007-02-02,ELEFANTE,infantiles,True,medio,Ausente,1000,17348
22230,OPERATIVO,2003-01-01,PLASTICO,infantiles,True,medio,2024-07-03,2200,17560
22444,OPERATIVO,2009-01-01,PLASTICO,infantiles,True,medio,Ausente,1800,18274
22448,OPERATIVO,2003-01-01,COHETE,infantiles,False,alto,2024-04-23,3200,18280
22452,OPERATIVO,2008-01-01,JMC-04,infantiles,False,medio,2024-09-28,300,18290
22463,OPERATIVO,2006-01-01,PLASTICO,infantiles,True,alto,Ausente,3300,18331
22408,OPERATIVO,2000-01-01,1036 · ELEFANTE,infantiles,False,alto,2024-02-06,2800,18117
22501,OPERATIVO,2011-02-06,JMC-46,infantiles,False,alto,Ausente,600,18381
22529,OPERATIVO,2009-01-01,0807 · GUSANO,infantiles,Desconocido,bajo,2024-04-14,1000,18445
22548,OPERATIVO,2004-01-01,1036 · ELEFANTE,infantiles,Desconocido,alto,2024-03-18,3200,18495
22551,OPERATIVO,2005-01-01,1036 · ELEFANTE,infantiles,False,medio,2024-09-16,800,18502
22554,OPERATIVO,2007-01-01,0349 · JMC-46,infantiles,True,alto,Ausente,600,18510
22599,OPERATIVO,2006-01-01,Tobogan Autoportante en Area Infantil,infantiles,False,alto,Ausente,1800,18628
